,Station name,altitude,lat,lon,fincl2lonlat
ASP,Aspvreten, 30 m,58.8,17.3833333333333,17.38e_58.80n
ATTO,,,-2.143,-59.0,59.00w_2.14s
BEO,BEO Moussala, 2971 m,42.1666666666667,23.5833333333333,23.58e_42.17n
BIR,Birkenes b, 190 m,58.383333333333304,8.25,8.25e_58.38n
BIR-II,,,58.39,8.25,8.25e_58.39n
BOS,Bösel, 16 m,53.0,7.95,7.95e_53.00n
CBW,Cabauw, 60 m,51.3,4.91666666666667,4.92e_51.30n
CHC,,,-16.35,-68.13,68.13w_16.35s
CMN,Monte Cimone, 2165 m,44.1833333333333,10.6833333333333,10.68e_44.18n
FKL,Finokalia, 250 m,35.3333333333333,25.6666666666667,25.67e_35.33n
HPB,Hohenpeissenberg, 988 m,47.8,11.0,11.00e_47.80n
HWL,Harwell, 60 m,51.5666666666667,1.31666666666667,1.32e_51.57n
Izana,,,28.309,-16.4994,16.50w_28.31n
JFJ,Jungfraujoch, 3580 m,46.5333333333333,7.98333333333333,7.98e_46.53n
JRC,JRC-Ispra, 209 m,45.8166666666667,8.63333333333333,8.63e_45.82n
KPO,K-Puszta, 125 m,46.9666666666667,19.55,19.55e_46.97n
MHD,Mace Head, 5 m,53.3166666666667,9.88333333333333,9.88e_53.32n
MPZ,Melpitz, 87 m,51.5333333333333,12.9,12.90e_51.53n
Maldives,,,6.77648,73.183049,73.18e_6.78n
OBK,Kosetice, 534 m,49.5833333333333,15.083333333333302,15.08e_49.58n
PAL,Pallas, 560 m,67.9666666666667,24.1166666666667,24.12e_67.97n
PDD,Puy de Dôme, 1465 m,45.7666666666667,2.95,2.95e_45.77n
PLA,Preila, 5 m,55.9166666666667,21.0,21.00e_55.92n
SGP,,,36.605,-97.485,97.48w_36.60n
SMEAR-I,,,67.75,29.6,29.60e_67.75n
SMR-II,SMEAR II, 181 m,61.85,24.283333333333303,24.28e_61.85n
SSL,Schauinsland, 1210 m,47.9166666666667,7.91666666666667,7.92e_47.92n
VHL,Vavihill, 172 m,56.0166666666667,13.15,13.15e_56.02n
Vavihill,,,56.02,13.15,13.15e_56.02n
Villum,,,81.6,-16.67,16.67w_81.60n
WAL,Waldhof, 70 m,52.5166666666667,10.766666666666698,10.77e_52.52n
ZEP,Zeppelin, 474 m,78.9166666666667,11.9,11.90e_78.92n
ZSF,Zugspitze, 2650 m,47.4166666666667,10.983333333333302,10.98e_47.42n
